accuracy,balanced_accuracy,cohen_kappa,concordance_correlation,macro_f1,macro_roc_auc_ovr,mae_native,outer_fold,pearson_r,protocol,r2_native,rmse_native,sample_count,subject_count,task,weighted_f1
0.7115812917594655,0.6450600201026386,0.29704545832344764,,0.6482654636797668,0.7179970274071876,,0,,sample_random,,,1796,25,dsr,0.7079252596918715
0.7160356347438753,0.6360551597510343,0.2870142183046077,,0.6421695783979748,0.6974851776249662,,1,,sample_random,,,1796,25,dsr,0.7071644662121371
0.7087973273942093,0.6557880691873191,0.3100973332510717,,0.6550384052502172,0.7228824704105987,,2,,sample_random,,,1796,25,dsr,0.7094797396640202
0.7416481069042317,0.6691890902596664,0.3549280031458468,,0.6764943827203627,0.7409349940887615,,3,,sample_random,,,1796,25,dsr,0.7345345489288216
0.7026726057906458,0.6414826153509731,0.28539410232413964,,0.6426629705803452,0.7123184851153361,,4,,sample_random,,,1796,25,dsr,0.7013680485034655
0.7040229885057471,0.7040229885057472,0.40804597701149425,,0.7040009909575127,0.7825257629805786,,0,,sample_random,,,348,29,mental_arithmetic,0.7040009909575127
0.6982758620689655,0.6982758620689655,0.39655172413793105,,0.6981537317748131,0.7461190381820584,,1,,sample_random,,,348,29,mental_arithmetic,0.6981537317748131
0.6896551724137931,0.6896551724137931,0.3793103448275862,,0.6859100785559085,0.750379838816224,,2,,sample_random,,,348,29,mental_arithmetic,0.6859100785559085
0.7040229885057471,0.7040229885057472,0.40804597701149425,,0.7031380701158659,0.7713865768265293,,3,,sample_random,,,348,29,mental_arithmetic,0.7031380701158659
0.6522988505747126,0.6522988505747126,0.3045977011494253,,0.6520661361889888,0.7400251023913331,,4,,sample_random,,,348,29,mental_arithmetic,0.6520661361889889
0.5488505747126436,0.5488505747126438,0.0977011494252874,,0.5488468493761509,0.5569427929713304,,0,,sample_random,,,348,29,motor_imagery,0.5488468493761509
0.5344827586206896,0.5344827586206896,0.06896551724137934,,0.5337281238627717,0.5450852160126833,,1,,sample_random,,,348,29,motor_imagery,0.5337281238627717
0.5804597701149425,0.5804597701149425,0.16091954022988508,,0.5790694591728527,0.6061236623067776,,2,,sample_random,,,348,29,motor_imagery,0.5790694591728526
0.514367816091954,0.514367816091954,0.028735632183908066,,0.5118485379194715,0.5525829039503236,,3,,sample_random,,,348,29,motor_imagery,0.5118485379194715
0.4885057471264368,0.4885057471264368,-0.02298850574712641,,0.48645332449013434,0.5114612234112829,,4,,sample_random,,,348,29,motor_imagery,0.48645332449013434
0.3829787234042553,0.3829787234042554,0.07446808510638303,,0.3826086956521739,0.5759016146069111,,0,,sample_random,,,141,25,nback,0.3826086956521739
0.375886524822695,0.375886524822695,0.06382978723404253,,0.3485209235209235,0.5561339972838388,,1,,sample_random,,,141,26,nback,0.34852092352092356
0.45,0.45004625346901017,0.1745156596982924,,0.45168206778153275,0.642677031422518,,2,,sample_random,,,140,26,nback,0.4513789565009807
