best_validation_epoch,best_validation_metric,epochs_after_best,epochs_without_improvement,last_epoch,outer_fold,protocol,selection_metric,stop_reason,task
11,1.0559396960017564,30,30,41,3,strict_cross_subject,masked_rmse_scaled,early_stopping_converged,refed_regression
7,1.014096429758882,33,33,40,4,strict_cross_subject,masked_rmse_scaled,early_stopping_converged,refed_regression
10,0.2703329278920072,30,30,40,0,strict_cross_subject,macro_f1,early_stopping_converged,visual
53,0.28803929511355,30,30,83,1,strict_cross_subject,macro_f1,early_stopping_converged,visual
28,0.26332501239319406,30,30,58,2,strict_cross_subject,macro_f1,early_stopping_converged,visual
36,0.26521947242129756,30,30,66,3,strict_cross_subject,macro_f1,early_stopping_converged,visual
14,0.2620985927529442,30,30,44,4,strict_cross_subject,macro_f1,early_stopping_converged,visual
14,0.6379620379620381,30,30,44,0,strict_cross_subject,macro_f1,early_stopping_converged,wg
10,0.6521837776517301,30,30,40,1,strict_cross_subject,macro_f1,early_stopping_converged,wg
25,0.5923371647509579,30,30,55,2,strict_cross_subject,macro_f1,early_stopping_converged,wg
16,0.6487555113070688,30,30,46,3,strict_cross_subject,macro_f1,early_stopping_converged,wg
35,0.6331668331668332,30,30,65,4,strict_cross_subject,macro_f1,early_stopping_converged,wg
